lr,step,time,train_loss,train_metric,val_loss,val_metric
0.0100,500.0,1898.3853,-0.9138,,-0.9249,
0.0100,1000.0,1901.9680,-0.9240,,-0.9274,
0.0100,1500.0,1901.9070,-0.9296,,-0.9355,
0.0100,2000.0,1902.1054,-0.9326,,-0.9318,
0.0100,2500.0,1903.1525,-0.9358,,-0.9398,
0.0050,3000.0,1902.3757,-0.9382,,-0.9347,
0.0050,3500.0,1903.4189,-0.9407,,-0.9452,
